ID,Movie Title,StoryLine,Rating,Tagline,Budget,Gross
1,Joker (2019) ,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.5/10,Put on a happy face.,"$55,000,000","$1,074,251,311"
2,Jojo Rabbit (2019) ,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,7.9/10,An anti-hate satire.,"$14,000,000","$90,335,025"
3,The King (2019) ,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",7.3/10,N/A,N/A,"$126,931"
4,Parasite (2019) ,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,8.6/10,"Uncontainable desire. (US teaser poster)                
 See more »","$11,400,000","$254,218,961"
5,Marriage Story (2019) ,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,8.0/10,"Where there's a love, there's a way.","$18,600,000","$333,686"
6,1917 (2019) ,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",8.3/10,Time is the enemy.,"$95,000,000","$368,027,644"
7,Midsommar (2019) ,A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,7.1/10,Let the festivities begin,"$9,000,000","$46,890,297"
8,Ready or Not (2019) ,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,6.8/10,"In-laws can be murder.                
 See more »","$6,000,000","$57,615,777"
9,Little Joe (2019) ,"Alice, a single mother, is a dedicated senior plant breeder at a corporation engaged in developing new species. Against company policy, she takes one home as a gift for her teenage son and names it after him but soon starts fearing it.",5.9/10,Happiness is a Business,N/A,"$196,960"
10,Dolemite Is My Name (2019) ,"Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.",7.3/10,Make your own legend.,N/A,N/A
11,The Art of Racing in the Rain (2019) ,"Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",7.5/10,Meet the Dog Who Will Show the World How to Be Human,"$18,000,000","$33,766,787"
12,Zombieland: Double Tap (2019) ,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",6.8/10,N/A,"$42,000,000","$122,810,399"
13,The Perfection (2018) ,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",6.1/10,It's Time to Face the Music,N/A,N/A
14,The Laundromat (2019) ,"A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.",6.3/10,Based on actual secrets,N/A,N/A
15,John Wick: Chapter 3 - Parabellum (2019) ,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",7.5/10,"If you want peace, prepare for war                
 See more »","$75,000,000","$326,709,727"
